Sintoma_1,Sintoma_2,Sintoma_3,Doenca_Associada,Superclasse_PTB-XL,Nivel_Risco,Trigger_Score
insuficiencia,,,Cardiomiopatia de Chagas com suporte circulatório mecânico,CD,alto,2
insuficiencia,,,Cardiomiopatia de Chagas com suporte circulatório mecânico,CD,alto,2
insuficiencia,,,Cardiomiopatia de Chagas com suporte circulatório mecânico,CD,alto,2
dor,,,Cardiomiopatia de Chagas com suporte circulatório mecânico,CD,alto,2
dor,,,Disfunção cardíaca pediátrica por quimioterapia (linfoma),CD,alto,0
dor,sudorese,quadro de,Disfunção cardíaca pediátrica por quimioterapia (linfoma),CD,alto,1
refere,,,Disfunção cardíaca pediátrica por quimioterapia (linfoma),CD,alto,2
edema,apresentou,,Disfunção cardíaca pediátrica por quimioterapia (linfoma),CD,alto,0
apresentou,,,Disfunção cardíaca pediátrica por quimioterapia (linfoma),CD,alto,1
refere,,,Disfunção cardíaca pediátrica por quimioterapia (linfoma),CD,alto,2
dor,,,Disfunção cardíaca pediátrica por quimioterapia (linfoma),CD,alto,3
taquicardia,hipertensao,quadro de,Disfunção cardíaca pediátrica por quimioterapia (linfoma),CD,alto,4
refere,,,Disfunção cardíaca pediátrica por quimioterapia (linfoma),CD,alto,2
dor,febre,sudorese,Disfunção cardíaca pediátrica por quimioterapia (linfoma),CD,alto,1
sintoma,,,Disfunção cardíaca pediátrica por quimioterapia (linfoma),CD,alto,1
procurou,,,Fibrilação ventricular por cardiotoxicidade ao 5-fluorouracil,STTC,alto,5
dor,,,Fibrilação ventricular por cardiotoxicidade ao 5-fluorouracil,STTC,alto,2
angina,,,Fibrilação ventricular por cardiotoxicidade ao 5-fluorouracil,STTC,alto,1
insuficiencia,,,Fibrilação ventricular por cardiotoxicidade ao 5-fluorouracil,STTC,alto,2
apresentou,,,Fibrilação ventricular por cardiotoxicidade ao 5-fluorouracil,STTC,alto,0
dor,,,Fibrilação ventricular por cardiotoxicidade ao 5-fluorouracil,STTC,alto,1
apresentou,,,Fibrilação ventricular por cardiotoxicidade ao 5-fluorouracil,STTC,alto,1
dor,,,Fibrilação ventricular por cardiotoxicidade ao 5-fluorouracil,STTC,alto,1
hipertensao,,,Fibrilação ventricular por cardiotoxicidade ao 5-fluorouracil,STTC,alto,5
dor,,,Fibrilação ventricular por cardiotoxicidade ao 5-fluorouracil,STTC,alto,0
dor,nausea,vomito,IAMCSST com ruptura de parede livre e pseudoaneurisma,MI,alto,5
sintoma,,,IAMCSST com ruptura de parede livre e pseudoaneurisma,MI,alto,0
dor,,,IAMCSST com ruptura de parede livre e pseudoaneurisma,MI,alto,0
taquicardia,hipotensao,,IAMCSST com ruptura de parede livre e pseudoaneurisma,MI,alto,0
taquicardia,,,IAMCSST com ruptura de parede livre e pseudoaneurisma,MI,alto,1
dor,,,IAMCSST com ruptura de parede livre e pseudoaneurisma,MI,alto,0
dor,,,IAMCSST com ruptura de parede livre e pseudoaneurisma,MI,alto,0
edema,,,IAMCSST com ruptura de parede livre e pseudoaneurisma,MI,alto,2
insuficiencia,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,4
insuficiencia,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,2
febre,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,5
dispneia,febre,queixa,Insuficiência cardíaca descompensada por arbovirose,CD,alto,0
insuficiencia,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,0
turgencia,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,0
edema,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,1
angina,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,1
quadro de,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,0
evoluiu com,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,0
apresentou,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,0
sintoma,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,1
dispneia,apresentou,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,1
insuficiencia,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,1
insuficiencia,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,1
precordial,precordialgia,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,2
edema,turgencia,evoluiu com,Insuficiência cardíaca descompensada por arbovirose,CD,alto,0
febre,,,Insuficiência cardíaca descompensada por arbovirose,CD,alto,1
febre,adinamia,sintoma,Miocardite por coinfecção Dengue/Chikungunya,CD,alto,0
dor,,,Miocardite por coinfecção Dengue/Chikungunya,CD,alto,0
hipotensao,,,Miocardite por coinfecção Dengue/Chikungunya,CD,alto,0
taquicardia,,,Miocardite por coinfecção Dengue/Chikungunya,CD,alto,0
apresentou,,,Miocardite por coinfecção Dengue/Chikungunya,CD,alto,1
evoluiu com,,,Miocardite por coinfecção Dengue/Chikungunya,CD,alto,0
dor,febre,fadiga,Miocardite por coinfecção Dengue/Chikungunya,CD,alto,6
febre,,,Miocardite por coinfecção Dengue/Chikungunya,CD,alto,0
hipertensao,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,0
dor,choque,apresentou,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,3
dor,tosse,febre,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,3
sintoma,apresentou,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,0
dispneia,tosse,febre,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,1
dispneia,tosse,adinamia,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,1
tosse,febre,quadro de,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,0
sintoma,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,1
roncos,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,1
febre,quadro de,evoluiu com,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,1
dor,taquicardia,turgencia,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,0
estertores,crepitantes,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,1
apresentou,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,1
dor,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,1
edema,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,0
insuficiencia,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,0
taquicardia,mal-estar,dispneico,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,1
edema,taquicardia,turgencia,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,0
insuficiencia,quadro de,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,1
refere,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,4
dor,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,0
insuficiencia,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,0
insuficiencia,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,1
dor,,,Miocardite aguda por COVID-19 com insuficiência respiratória,CD,alto,0
sintoma,,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,4
dor,,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,2
chiado,sintoma,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,0
edema,,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,1
refere,,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,0
hipertensao,,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,0
taquicardia,,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,2
dor,,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,0
queixa,,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,0
insuficiencia,,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,1
insuficiencia,,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,1
insuficiencia,queixa,,Síndrome de Takotsubo - cardiomiopatia de estresse,STTC,alto,0
dor,,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,4
dor,,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,3
dor,insuficiencia,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,7
dor,,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,6
dor,,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,4
dor,refere,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,4
dor,,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,1
dor,,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,2
dor,sintoma,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,5
dor,,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,2
dor,,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,4
dor,,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,5
sintoma,,,Ceramidas plasmáticas como biomarcadores de risco cardiovascular,NORM,baixo,2
insuficiencia,,,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,5
insuficiencia,,,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,5
dor,insuficiencia,,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,1
dor,fadiga,refere,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,3
insuficiencia,,,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,4
dor,,,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,2
dor,,,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,6
dor,,,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,3
insuficiencia,,,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,3
dor,,,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,5
dor,insuficiencia,,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,5
dor,,,"Estrogênio, obesidade e risco de insuficiência cardíaca",HYP,baixo,4
dor,,,Fibrilação atrial em pacientes oncológicos,CD,alto,1
insuficiencia,,,Fibrilação atrial em pacientes oncológicos,CD,alto,4
insuficiencia,,,Fibrilação atrial em pacientes oncológicos,CD,alto,2
hipertensao,insuficiencia,,Fibrilação atrial em pacientes oncológicos,CD,alto,0
sintoma,,,Fibrilação atrial em pacientes oncológicos,CD,alto,1
sintoma,,,Fibrilação atrial em pacientes oncológicos,CD,alto,4
dor,,,Fibrilação atrial em pacientes oncológicos,CD,alto,1
dor,,,Fibrilação atrial em pacientes oncológicos,CD,alto,1
dor,febre,,Fibrilação atrial em pacientes oncológicos,CD,alto,4
dor,,,Fibrilação atrial em pacientes oncológicos,CD,alto,0
dor,,,Fibrilação atrial em pacientes oncológicos,CD,alto,1
dor,,,Fibrilação atrial em pacientes oncológicos,CD,alto,4
sintoma,,,Fibrilação atrial em pacientes oncológicos,CD,alto,4
dor,,,Fibrilação atrial em pacientes oncológicos,CD,alto,4
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,3
dor,insuficiencia,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,apresentou,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,2
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,2
insuficiencia,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,0
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,2
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,0
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,2
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,angina,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,0
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,insuficiencia,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,0
dor,apresentou,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,0
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,sintoma,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dispneia,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,0
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
insuficiencia,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,1
insuficiencia,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,0
insuficiencia,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,0
dor,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,0
refere,,,GDF-15 como biomarcador de doenças cardiovasculares,NORM,baixo,0
dor,,,Índices hematológicos inflamatórios e mortalidade cardiovascular,NORM,baixo,1
dor,,,Índices hematológicos inflamatórios e mortalidade cardiovascular,NORM,baixo,5
dor,,,Índices hematológicos inflamatórios e mortalidade cardiovascular,NORM,baixo,5
dor,,,Índices hematológicos inflamatórios e mortalidade cardiovascular,NORM,baixo,3
dor,,,Índices hematológicos inflamatórios e mortalidade cardiovascular,NORM,baixo,2
dor,,,Índices hematológicos inflamatórios e mortalidade cardiovascular,NORM,baixo,5
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,3
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,2
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,1
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,1
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,3
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,1
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,1
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,3
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,5
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,6
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,3
dor,insuficiencia,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,3
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,3
apresentou,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,4
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,2
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,3
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,4
dor,,,miRNAs na fisiopatologia cardiovascular,NORM,baixo,4
dor,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,4
insuficiencia,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,2
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,1
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,2
insuficiencia,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,0
insuficiencia,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,0
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,2
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,3
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,1
dor,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,2
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,5
apresentou,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,5
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,7
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,2
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,2
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,2
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,1
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,2
refere,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,4
dor,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,5
dor,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,2
dor,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,1
dor,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,1
dor,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,1
dor,,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,1
dor,choque,,Síndrome cardiorrenal - critérios diagnósticos e prognóstico,CD,alto,5
